
    Time  ref_inp     lev2     lev1      err 
    48.90    5.060    5.825    0.600   -0.230
    49.00    5.060    5.825    0.600   -0.230
    49.10    5.060    5.825    0.600   -0.230
    49.20    5.060    5.825    0.600   -0.230
    49.30    5.060    5.825    0.600   -0.230
    49.40    5.060    5.825    0.600   -0.230
    49.50    5.060    5.825    0.600   -0.230
    49.60    5.060    5.825    0.600   -0.230
    49.70    5.060    5.820    0.600   -0.230
    49.80    5.060    5.820    0.600   -0.230
    49.90    5.060    5.820    0.600   -0.230
    50.00    5.060    5.820    0.600   -0.230
    50.10    5.060    5.820    0.600   -0.230
    50.20    5.060    5.820    0.600   -0.230
    50.30    5.060    5.820    0.600   -0.230
    50.40    5.060    5.815    0.600   -0.230
    50.50    5.060    5.815    0.600   -0.230
    50.60    5.060    5.815    0.605   -0.230
    50.70    5.060    5.810    0.605   -0.230
    50.80    5.060    5.810    0.600   -0.230
    50.90    5.060    5.810    0.600   -0.230
    51.00    5.060    5.810    0.600   -0.230
    51.10    5.060    5.805    0.600   -0.230
    51.20    5.060    5.805    0.600   -0.230
    51.30    5.060    5.805    0.600   -0.235
    51.40    5.060    5.805    0.605   -0.230
    51.50    5.060    5.800    0.600   -0.230
    51.60    5.060    5.800    0.600   -0.230
    51.70    5.060    5.800    0.600   -0.230
    51.80    5.060    5.800    0.600   -0.230
    51.90    5.060    5.800    0.600   -0.230
    52.00    5.060    5.795    0.600   -0.230
    52.10    5.060    5.795    0.600   -0.230
    52.20    5.060    5.790    0.600   -0.230
    52.30    5.060    5.790    0.600   -0.230
    52.40    5.060    5.790    0.600   -0.230
    52.50    5.060    5.785    0.600   -0.230
    52.60    5.060    5.785    0.600   -0.230
    52.70    5.060    5.785    0.600   -0.230
    52.80    5.060    5.780    0.600   -0.230
    52.90    5.060    5.780    0.600   -0.230
    53.00    5.060    5.775    0.600   -0.230
    53.10    5.060    5.775    0.600   -0.230
    53.20    5.060    5.775    0.600   -0.230
    53.30    5.060    5.770    0.600   -0.230
    53.40    5.060    5.770    0.600   -0.230
    53.50    5.060    5.765    0.600   -0.230
    53.60    5.060    5.765    0.600   -0.230
    53.70    5.060    5.760    0.600   -0.230
    53.80    5.060    5.760    0.600   -0.230
    53.90    5.060    5.755    0.600   -0.230
    54.00    5.060    5.755    0.600   -0.230
    54.10    5.060    5.755    0.600   -0.230
    54.20    5.060    5.750    0.600   -0.230
    54.30    5.060    5.750    0.600   -0.230
    54.40    5.060    5.745    0.600   -0.230
    54.50    5.060    5.745    0.600   -0.230
    54.60    5.060    5.740    0.600   -0.230
    54.70    5.060    5.740    0.600   -0.230
    54.80    5.060    5.735    0.600   -0.230
    54.90    5.060    5.730    0.600   -0.230
    55.00    5.060    5.730    0.600   -0.230
    55.10    5.060    5.725    0.600   -0.230
    55.20    5.060    5.725    0.600   -0.230
    55.30    5.060    5.720    0.600   -0.230
    55.40    5.060    5.720    0.600   -0.230
    55.50    5.060    5.715    0.600   -0.230
    55.60    5.060    5.715    0.600   -0.230
    55.70    5.060    5.710    0.600   -0.230
    55.80    5.060    5.710    0.600   -0.230
    55.90    5.060    5.705    0.600   -0.230
    56.00    5.060    5.700    0.600   -0.230
    56.10    5.060    5.700    0.600   -0.230
    56.20    5.060    5.695    0.600   -0.230
    56.30    5.060    5.690    0.600   -0.230
    56.40    5.060    5.690    0.600   -0.230
    56.50    5.060    5.685    0.600   -0.230
    56.60    5.060    5.685    0.600   -0.230
    56.70    5.060    5.680    0.600   -0.230
    56.80    5.060    5.680    0.600   -0.235
    56.90    5.060    5.675    0.600   -0.230
    57.00    5.060    5.670    0.600   -0.230
    57.10    5.060    5.670    0.600   -0.230
    57.20    5.060    5.665    0.600   -0.230
    57.30    5.060    5.660    0.600   -0.230
    57.40    5.060    5.655    0.600   -0.230
    57.50    5.060    5.655    0.600   -0.230
    57.60    5.060    5.650    0.600   -0.230
    57.70    5.060    5.645    0.600   -0.230
    57.80    5.060    5.640    0.600   -0.230
    57.90    5.060    5.640    0.600   -0.235
    58.00    5.060    5.635    0.600   -0.230
    58.10    5.060    5.630    0.600   -0.230
    58.20    5.060    5.625    0.600   -0.230
    58.30    5.060    5.620    0.600   -0.230
    58.40    5.060    5.620    0.600   -0.230
    58.50    5.060    5.615    0.600   -0.230
    58.60    5.060    5.610    0.600   -0.230
    58.70    5.060    5.605    0.600   -0.235
    58.80    5.060    5.605    0.600   -0.235
    58.90    5.060    5.600    0.600   -0.230
    59.00    5.060    5.595    0.600   -0.230
    59.10    5.060    5.590    0.600   -0.230
    59.20    5.060    5.585    0.600   -0.230
    59.30    5.060    5.580    0.600   -0.230
    59.40    5.060    5.575    0.600   -0.230
    59.50    5.060    5.575    0.600   -0.230
    59.60    5.060    5.570    0.600   -0.230
    59.70    5.060    5.565    0.600   -0.230
    59.80    5.060    5.560    0.600   -0.230
    59.90    5.060    5.555    0.600   -0.230
    60.00    5.060    5.550    0.600   -0.230
    60.10    5.060    5.550    0.600   -0.230
    60.20    5.060    5.545    0.600   -0.230
    60.30    5.060    5.540    0.600   -0.230
    60.40    5.060    5.535    0.600   -0.230
    60.50    5.060    5.530    0.600   -0.230
    60.60    5.060    5.525    0.600   -0.235
    60.70    5.060    5.520    0.600   -0.230
    60.80    5.060    5.515    0.600   -0.230
    60.90    5.060    5.510    0.600   -0.230
    61.00    5.060    5.505    0.600   -0.230
    61.10    5.060    5.500    0.600   -0.230
    61.20    5.060    5.495    0.600   -0.235
    61.30    5.060    5.490    0.600   -0.230
    61.40    5.060    5.490    0.600   -0.235
    61.50    5.060    5.485    0.600   -0.235
    61.60    5.060    5.480    0.600   -0.230
