
    Time  ref_inp     lev2     lev1      err 
    14.40    5.060    4.405    0.590   -0.235
    14.50    5.060    4.410    0.590   -0.235
    14.60    5.060    4.420    0.590   -0.235
    14.70    5.060    4.425    0.590   -0.235
    14.80    5.060    4.430    0.590   -0.235
    14.90    5.060    4.435    0.595   -0.235
    15.00    5.060    4.435    0.590   -0.235
    15.10    5.060    4.440    0.590   -0.235
    15.20    5.060    4.445    0.590   -0.235
    15.30    5.060    4.450    0.590   -0.235
    15.40    5.060    4.455    0.590   -0.235
    15.50    5.060    4.460    0.595   -0.235
    15.60    5.060    4.465    0.590   -0.235
    15.70    5.060    4.470    0.590   -0.235
    15.80    5.060    4.475    0.595   -0.235
    15.90    5.060    4.480    0.590   -0.235
    16.00    5.060    4.485    0.590   -0.235
    16.10    5.060    4.490    0.590   -0.235
    16.20    5.060    4.495    0.590   -0.235
    16.30    5.060    4.500    0.590   -0.235
    16.40    5.060    4.505    0.590   -0.235
    16.50    5.060    4.505    0.595   -0.235
    16.60    5.060    4.510    0.595   -0.235
    16.70    5.060    4.520    0.595   -0.235
    16.80    5.060    4.525    0.595   -0.235
    16.90    5.060    4.530    0.595   -0.235
    17.00    5.060    4.535    0.595   -0.235
    17.10    5.060    4.540    0.595   -0.235
    17.20    5.060    4.545    0.595   -0.235
    17.30    5.060    4.550    0.595   -0.235
    17.40    5.060    4.560    0.595   -0.235
    17.50    5.060    4.565    0.595   -0.235
    17.60    5.060    4.570    0.595   -0.235
    17.70    5.060    4.575    0.595   -0.235
    17.80    5.060    4.580    0.595   -0.235
    17.90    5.060    4.585    0.595   -0.235
    18.00    5.060    4.595    0.595   -0.235
    18.10    5.060    4.600    0.595   -0.235
    18.20    5.060    4.605    0.595   -0.235
    18.30    5.060    4.605    0.595   -0.235
    18.40    5.060    4.610    0.595   -0.235
    18.50    5.060    4.615    0.595   -0.235
    18.60    5.060    4.620    0.595   -0.235
    18.70    5.060    4.630    0.595   -0.235
    18.80    5.060    4.635    0.595   -0.235
    18.90    5.060    4.640    0.595   -0.235
    19.00    5.060    4.645    0.595   -0.235
    19.10    5.060    4.650    0.595   -0.235
    19.20    5.060    4.655    0.595   -0.235
    19.30    5.060    4.660    0.595   -0.235
    19.40    5.060    4.670    0.595   -0.235
    19.50    5.060    4.675    0.595   -0.235
    19.60    5.060    4.680    0.595   -0.235
    19.70    5.060    4.685    0.595   -0.235
    19.80    5.060    4.690    0.595   -0.235
    19.90    5.060    4.695    0.595   -0.235
    20.00    5.060    4.700    0.595   -0.235
    20.10    5.060    4.705    0.595   -0.235
    20.20    5.060    4.710    0.595   -0.235
    20.30    5.060    4.715    0.595   -0.235
    20.40    5.060    4.720    0.595   -0.235
    20.50    5.060    4.725    0.595   -0.235
    20.60    5.060    4.730    0.595   -0.235
    20.70    5.060    4.740    0.595   -0.235
    20.80    5.060    4.745    0.595   -0.235
    20.90    5.060    4.750    0.595   -0.235
    21.00    5.060    4.755    0.595   -0.235
    21.10    5.060    4.760    0.595   -0.235
    21.20    5.060    4.765    0.595   -0.235
    21.30    5.060    4.770    0.595   -0.235
    21.40    5.060    4.775    0.595   -0.235
    21.50    5.060    4.780    0.595   -0.235
    21.60    5.060    4.785    0.595   -0.235
    21.70    5.060    4.790    0.595   -0.235
    21.80    5.060    4.795    0.595   -0.235
    21.90    5.060    4.800    0.595   -0.235
    22.00    5.060    4.805    0.595   -0.235
    22.10    5.060    4.810    0.595   -0.235
    22.20    5.060    4.815    0.595   -0.235
    22.30    5.060    4.825    0.595   -0.235
    22.40    5.060    4.830    0.595   -0.235
    22.50    5.060    4.835    0.595   -0.235
    22.60    5.060    4.840    0.595   -0.235
    22.70    5.060    4.850    0.595   -0.235
    22.80    5.060    4.855    0.595   -0.235
    22.90    5.060    4.865    0.595   -0.235
    23.00    5.060    4.870    0.595   -0.235
    23.10    5.060    4.875    0.595   -0.235
    23.20    5.060    4.880    0.595   -0.235
    23.30    5.060    4.885    0.595   -0.235
    23.40    5.060    4.890    0.595   -0.235
    23.50    5.060    4.895    0.595   -0.235
    23.60    5.060    4.900    0.595   -0.235
    23.70    5.060    4.905    0.595   -0.235
    23.80    5.060    4.910    0.595   -0.235
    23.90    5.060    4.915    0.595   -0.235
    24.00    5.060    4.920    0.595   -0.235
