Data export from TecQuipment CE2000

Data series 1

    Time    Squar    veloc    V_mot    error 
    46.40    2.125    1.765    1.935    0.415
    46.46    2.125    1.770    1.920    0.415
    46.53    2.120    1.765    1.940    0.420
    46.60    2.125    1.765    1.930    0.415
    46.66    2.125    1.765    1.925    0.415
    46.73    2.120    1.765    1.940    0.415
    46.79    2.120    1.765    1.930    0.420
    46.86    2.120    1.765    1.935    0.415
    46.93    2.125    1.760    1.940    0.420
    46.99    2.120    1.770    1.930    0.415
    47.06    2.125    1.760    1.940    0.420
    47.12    2.125    1.760    1.935    0.420
    47.19    2.120    1.765    1.935    0.420
    47.26    2.125    1.760    1.940    0.420
    47.32    2.125    1.765    1.920    0.415
    47.39    2.120    1.760    1.930    0.420
    47.45    2.125    1.765    1.925    0.415
    47.52    2.125    1.765    1.915    0.415
    47.59    2.120    1.760    1.930    0.415
    47.65    2.120    1.765    1.915    0.415
    47.72    2.120    1.765    1.925    0.415
    47.78    2.120    1.765    1.925    0.415
    47.85    2.670    1.770    4.370    0.970
    47.92    4.070    1.980   10.205    2.185
    47.98    4.070    2.410    8.745    1.745
    48.05    4.070    2.795    6.760    1.360
    48.11    4.070    3.050    5.420    1.100
    48.18    4.070    3.205    4.645    0.950
    48.25    4.075    3.285    4.215    0.860
    48.31    4.070    3.335    3.955    0.815
    48.38    4.070    3.365    3.800    0.780
    48.44    4.075    3.385    3.705    0.765
    48.51    4.075    3.395    3.650    0.750
    48.58    4.075    3.405    3.620    0.745
    48.64    4.075    3.405    3.600    0.745
    48.71    4.075    3.410    3.590    0.740
    48.77    4.075    3.410    3.585    0.740
    48.84    4.075    3.410    3.585    0.740
    48.91    4.075    3.410    3.575    0.740
    48.97    4.075    3.410    3.580    0.740
    49.04    4.075    3.410    3.585    0.740
    49.10    4.075    3.410    3.585    0.740
    49.17    4.075    3.410    3.580    0.740
    49.24    4.075    3.410    3.580    0.740
    49.30    4.075    3.410    3.580    0.740
    49.37    4.075    3.410    3.575    0.735
    49.43    4.075    3.415    3.565    0.735
    49.50    4.075    3.410    3.570    0.735
    49.57    4.075    3.410    3.570    0.735
    49.63    4.075    3.410    3.570    0.740
    49.70    4.075    3.410    3.575    0.735
    49.76    4.075    3.415    3.565    0.735
    49.83    4.075    3.410    3.575    0.740
    49.90    4.070    3.410    3.575    0.735
    49.96    4.070    3.405    3.570    0.735
    50.03    4.070    3.410    3.570    0.735
    50.09    4.075    3.410    3.575    0.740
    50.16    4.070    3.410    3.575    0.740
    50.23    4.070    3.410    3.570    0.735
    50.29    4.070    3.410    3.570    0.740
    50.36    4.075    3.410    3.575    0.740
    50.42    4.075    3.405    3.580    0.740
    50.49    4.075    3.405    3.585    0.740
    50.56    4.075    3.405    3.580    0.740
    50.62    4.075    3.410    3.580    0.740
    50.69    4.075    3.410    3.580    0.740
    50.75    4.075    3.410    3.570    0.740
    50.82    4.075    3.410    3.570    0.735
    50.89    4.075    3.410    3.580    0.740
    50.95    4.075    3.410    3.575    0.740
    51.02    4.075    3.410    3.575    0.735
    51.08    4.075    3.410    3.570    0.735
    51.15    4.075    3.410    3.570    0.735
    51.22    4.075    3.410    3.585    0.740
    51.28    0.000    0.000    0.000    0.000

