Data export from TecQuipment CE2000

Data series 1

    Time       T1       T2 heater input 
    12.28    2.550    2.490    1.000
    12.34    2.550    2.490    1.000
    12.41    2.550    2.490    1.000
    12.47    2.550    2.490    1.000
    12.54    2.550    2.490    1.000
    12.61    2.550    2.490    1.000
    12.67    2.550    2.490    1.000
    12.74    2.550    2.490    1.000
    12.80    2.550    2.490    1.000
    12.87    2.550    2.490    1.000
    12.94    2.550    2.490    1.000
    13.00    2.550    2.490    1.000
    13.07    2.550    2.490    1.000
    13.13    2.550    2.490    1.000
    13.20    2.550    2.490    1.000
    13.27    2.555    2.490    1.000
    13.33    2.555    2.490    1.000
    13.40    2.555    2.490    1.000
    13.46    2.555    2.490    1.000
    13.53    2.555    2.490    1.000
    13.60    2.555    2.490    1.000
    13.66    2.555    2.490    1.000
    13.73    2.555    2.490    1.000
    13.79    2.555    2.490    1.000
    13.86    2.555    2.490    1.000
    13.93    2.555    2.490    1.000
    13.99    2.555    2.490    1.000
    14.06    2.555    2.490    1.000
    14.12    2.555    2.490    1.000
    14.19    2.555    2.490    1.000
    14.26    2.555    2.490    1.000
    14.32    2.555    2.490    1.000
    14.39    2.555    2.490    1.000
    14.45    2.555    2.490    1.000
    14.52    2.560    2.490    1.000
    14.59    2.560    2.490    1.000
    14.65    2.560    2.490    1.000
    14.72    2.560    2.490    1.000
    14.78    2.560    2.490    1.000
    14.85    2.560    2.490    1.000
    14.92    2.560    2.490    1.000
    14.98    2.560    2.490    1.000
    15.05    2.560    2.490    1.000
    15.11    2.560    2.490    1.000
    15.18    2.560    2.490    1.000
    15.25    2.560    2.490    1.000
    15.31    2.560    2.490    1.000
    15.38    2.560    2.490    1.000
    15.44    2.560    2.490    1.000
    15.51    2.560    2.490    1.000
    15.58    2.560    2.490    1.000
    15.64    2.560    2.490    1.000
    15.71    2.560    2.490    1.000
    15.77    2.565    2.490    1.000
    15.84    2.565    2.490    1.000
    15.91    2.565    2.490    1.000
    15.97    2.565    2.490    1.000
    16.04    2.565    2.490    1.000
    16.10    2.565    2.490    1.000
    16.17    2.565    2.490    1.000
    16.24    2.565    2.490    1.000
    16.30    2.565    2.490    1.000
    16.37    2.565    2.490    1.000
    16.43    2.565    2.490    1.000
    16.50    2.565    2.490    1.000
    16.57    2.565    2.490    1.000
    16.63    2.565    2.490    1.000
    16.70    2.565    2.490    1.000
    16.76    2.565    2.490    1.000
    16.83    2.565    2.490    1.000
    16.90    2.570    2.490    1.000
    16.96    2.570    2.490    1.000
    17.03    2.570    2.490    1.000
    17.09    2.570    2.490    1.000
    17.16    2.570    2.490    1.000
    17.23    2.570    2.490    1.000
    17.29    2.570    2.490    1.000
    17.36    2.570    2.490    1.000
    17.42    2.570    2.490    1.000
    17.49    2.570    2.490    1.000
    17.56    2.570    2.490    1.000
    17.62    2.570    2.490    1.000
    17.69    2.570    2.490    1.000
    17.75    2.570    2.495    1.000
    17.82    2.570    2.490    1.000
    17.89    2.570    2.490    1.000
    17.95    2.570    2.490    1.000
    18.02    2.575    2.490    1.000
    18.08    2.575    2.495    1.000
    18.15    2.575    2.490    1.000
    18.22    2.575    2.490    1.000
    18.28    2.575    2.490    1.000
    18.35    2.575    2.490    1.000
    18.41    2.575    2.490    1.000
    18.48    2.575    2.495    1.000
    18.55    2.575    2.495    1.000
    18.61    2.575    2.490    1.000
    18.68    2.575    2.495    1.000
    18.74    2.575    2.490    1.000
    18.81    2.575    2.490    1.000
    18.88    2.575    2.490    1.000
    18.94    2.580    2.495    1.000
    19.01    2.575    2.490    1.000
    19.07    2.575    2.490    1.000
    19.14    2.580    2.495    1.000
    19.21    2.580    2.495    1.000
    19.27    2.580    2.495    1.000
    19.34    2.580    2.495    1.000
    19.40    2.580    2.495    1.000
    19.47    2.580    2.495    1.000
    19.54    2.580    2.495    1.000
    19.60    2.580    2.495    1.000
    19.67    2.580    2.495    1.000
    19.73    2.580    2.495    1.000
    19.80    2.580    2.495    1.000
    19.87    2.580    2.495    1.000
    19.93    2.580    2.495    1.000
    20.00    2.580    2.495    1.000
    20.06    2.580    2.495    1.000
    20.13    2.580    2.495    1.000
    20.20    2.580    2.495    1.000
    20.26    2.585    2.495    1.000
    20.33    2.585    2.495    1.000
    20.39    2.580    2.495    1.000
    20.46    2.585    2.495    1.000
    20.53    2.585    2.495    1.000
    20.59    2.585    2.495    1.000
    20.66    2.585    2.495    1.000
    20.72    2.585    2.495    1.000
    20.79    2.585    2.495    1.000
    20.86    2.585    2.495    1.000
    20.92    2.585    2.495    1.000
    20.99    2.585    2.495    1.000
    21.05    2.585    2.495    1.000
    21.12    2.585    2.495    1.000
    21.19    2.585    2.495    1.000
    21.25    2.585    2.495    1.000
    21.32    2.585    2.495    1.000
    21.38    2.590    2.495    1.000
    21.45    2.590    2.495    1.000
    21.52    2.590    2.495    1.000
    21.58    2.590    2.495    1.000
    21.65    2.590    2.495    1.000
    21.71    2.590    2.495    1.000
    21.78    2.590    2.495    1.000
    21.85    2.590    2.495    1.000
    21.91    2.590    2.495    1.000
    21.98    2.590    2.495    1.000
    22.04    2.590    2.495    1.000
    22.11    2.590    2.495    1.000
    22.18    2.590    2.495    1.000
    22.24    2.590    2.495    1.000
    22.31    2.590    2.495    1.000
    22.37    2.590    2.495    1.000
    22.44    2.590    2.495    1.000
    22.51    2.590    2.495    1.000
    22.57    2.590    2.495    1.000
    22.64    2.590    2.495    1.000
    22.70    2.595    2.495    1.000
    22.77    2.595    2.495    1.000
    22.84    2.595    2.495    1.000
    22.90    2.595    2.495    1.000
    22.97    2.595    2.495    1.000
    23.03    2.595    2.495    1.000
    23.10    2.595    2.495    1.000
    23.17    2.595    2.495    1.000
    23.23    2.595    2.495    1.000
    23.30    2.595    2.495    1.000
    23.36    2.595    2.495    1.000
    23.43    2.595    2.500    1.000
    23.50    2.595    2.495    1.000
    23.56    2.595    2.495    1.000
    23.63    2.595    2.495    1.000
    23.69    2.600    2.500    1.000
    23.76    2.595    2.495    1.000
    23.83    2.595    2.495    1.000
    23.89    2.600    2.495    1.000
    23.96    2.600    2.500    1.000
    24.02    2.600    2.500    1.000
    24.09    2.600    2.500    1.000
    24.16    2.600    2.500    1.000
    24.22    2.600    2.500    1.000
    24.29    2.600    2.500    1.000
    24.35    2.600    2.495    1.000
    24.42    2.600    2.500    1.000
    24.49    2.600    2.500    1.000
    24.55    2.600    2.500    1.000
    24.62    2.600    2.500    1.000
    24.68    2.600    2.500    1.000
    24.75    2.600    2.500    1.000
    24.82    2.600    2.500    1.000
    24.88    2.600    2.500    1.000
    24.95    2.600    2.500    1.000
    25.01    2.605    2.500    1.000
    25.08    2.605    2.500    1.000
    25.15    2.605    2.500    1.000
    25.21    2.605    2.500    1.000
    25.28    2.605    2.500    1.000
    25.34    2.605    2.500    1.000
    25.41    2.605    2.500    1.000
    25.48    2.605    2.500    1.000
    25.54    2.605    2.500    1.000
    25.61    2.605    2.500    1.000
    25.67    2.605    2.500    1.000
    25.74    2.605    2.500    1.000
    25.81    2.605    2.500    1.000
    25.87    2.605    2.500    1.000
    25.94    2.605    2.500    1.000
    26.00    2.605    2.500    1.000
    26.07    2.605    2.500    1.000
    26.14    2.605    2.500    1.000
    26.20    2.605    2.500    1.000
    26.27    2.605    2.500    1.000
    26.33    2.605    2.500    1.000
    26.40    2.610    2.500    1.000
    26.47    2.610    2.500    1.000
    26.53    2.610    2.500    1.000
    26.60    2.610    2.500    1.000
    26.66    2.610    2.500    1.000
    26.73    2.610    2.500    1.000
    26.80    2.610    2.500    1.000
    26.86    2.610    2.500    1.000
    26.93    2.610    2.500    1.000
    26.99    2.610    2.500    1.000
    27.06    2.610    2.500    1.000
    27.13    2.610    2.500    1.000
    27.19    2.610    2.500    1.000
    27.26    2.610    2.500    1.000
    27.32    2.615    2.500    1.000
    27.39    2.615    2.500    1.000
    27.46    2.615    2.500    1.000
    27.52    2.615    2.505    1.000
    27.59    2.615    2.500    1.000
    27.65    2.615    2.500    1.000
    27.72    2.615    2.500    1.000
    27.79    2.615    2.500    1.000
    27.85    2.615    2.505    1.000
    27.92    2.615    2.505    1.000
    27.98    2.615    2.505    1.000
    28.05    2.615    2.500    1.000
    28.12    2.615    2.505    1.000
    28.18    2.615    2.505    1.000
    28.25    2.615    2.505    1.000
    28.31    2.615    2.505    1.000
    28.38    2.615    2.505    1.000
    28.45    2.615    2.505    1.000
    28.51    2.615    2.505    1.000
    28.58    2.620    2.505    1.000
    28.64    2.615    2.505    1.000
    28.71    2.620    2.505    1.000
    28.78    2.620    2.505    1.000
    28.84    2.620    2.505    1.000
    28.91    2.620    2.505    1.000
    28.97    2.620    2.505    1.000
    29.04    2.620    2.505    1.000
    29.11    2.620    2.505    1.000
    29.17    2.620    2.505    1.000
    29.24    2.620    2.505    1.000
    29.30    2.620    2.505    1.000
    29.37    2.620    2.505    1.000
    29.44    2.620    2.505    1.000
    29.50    2.620    2.505    1.000
    29.57    2.620    2.505    1.000
    29.63    2.620    2.505    1.000
    29.70    2.620    2.505    1.000
    29.77    2.620    2.505    1.000
    29.83    2.625    2.505    1.000
    29.90    2.620    2.505    1.000
    29.96    2.625    2.505    1.000
    30.03    2.625    2.505    1.000
    30.10    2.625    2.505    1.000
    30.16    2.625    2.505    1.000
    30.23    2.625    2.505    1.000
    30.29    2.625    2.505    1.000
    30.36    2.625    2.505    1.000
    30.43    2.625    2.505    1.000
    30.49    2.625    2.505    1.000
    30.56    2.625    2.510    1.000
    30.62    2.625    2.505    1.000
    30.69    2.625    2.505    1.000
    30.76    2.625    2.510    1.000
    30.82    2.625    2.510    1.000
    30.89    2.625    2.505    1.000
    30.95    2.625    2.510    1.000
    31.02    2.630    2.505    1.000
    31.09    2.625    2.510    1.000
    31.15    2.630    2.510    1.000
    31.22    2.630    2.510    1.000
    31.28    2.630    2.510    1.000
    31.35    2.630    2.510    1.000
    31.42    2.630    2.510    1.000
    31.48    2.630    2.510    1.000
    31.55    2.630    2.510    1.000
    31.61    2.630    2.510    1.000
    31.68    2.630    2.510    1.000
    31.75    2.630    2.510    1.000
    31.81    2.630    2.510    1.000
    31.88    2.630    2.510    1.000
    31.94    2.630    2.510    1.000
    32.01    2.630    2.510    1.000
    32.08    2.630    2.510    1.000
    32.14    2.630    2.510    1.000
    32.21    2.630    2.510    1.000
