
Data series 3

    Time       T1       T2  shutter Setpoint 
    18.41    3.440    2.715    0.000    4.000
    18.48    3.445    2.720    0.000    4.000
    18.55    3.450    2.720    0.000    4.000
    18.61    3.455    2.720    0.000    4.000
    18.68    3.460    2.720    0.000    4.000
    18.74    3.465    2.720    0.000    4.000
    18.81    3.465    2.725    0.000    4.000
    18.88    3.475    2.725    0.000    4.000
    18.94    3.480    2.725    0.000    4.000
    19.01    3.480    2.730    0.000    4.000
    19.07    3.485    2.725    0.000    4.000
    19.14    3.490    2.730    0.000    4.000
    19.21    3.495    2.730    0.000    4.000
    19.27    3.500    2.730    0.000    4.000
    19.34    3.505    2.730    0.000    4.000
    19.40    3.505    2.730    0.000    4.000
    19.47    3.510    2.730    0.000    4.000
    19.54    3.515    2.730    0.000    4.000
    19.60    3.520    2.735    0.000    4.000
    19.67    3.525    2.735    0.000    4.000
    19.73    3.530    2.735    0.000    4.000
    19.80    3.535    2.735    0.000    4.000
    19.87    3.540    2.740    0.000    4.000
    19.93    3.540    2.740    0.000    4.000
    20.00    3.545    2.740    0.000    4.000
    20.06    3.550    2.740    0.000    4.000
    20.13    3.555    2.740    0.000    4.000
    20.20    3.560    2.740    0.000    4.000
    20.26    3.565    2.745    0.000    4.000
    20.33    3.570    2.745    0.000    4.000
    20.39    3.575    2.745    0.000    4.000
    20.46    3.580    2.745    0.000    4.000
    20.53    3.585    2.750    0.000    4.000
    20.59    3.585    2.750    0.000    4.000
    20.66    3.590    2.750    0.000    4.000
    20.72    3.595    2.750    0.000    4.000
    20.79    3.600    2.750    0.000    4.000
    20.86    3.605    2.750    0.000    4.000
    20.92    3.610    2.755    0.000    4.000
    20.99    3.615    2.755    0.000    4.000
    21.05    3.620    2.755    0.000    4.000
    21.12    3.625    2.755    0.000    4.000
    21.19    3.630    2.760    0.000    4.000
    21.25    3.630    2.760    0.000    4.000
    21.32    3.635    2.760    0.000    4.000
    21.38    3.640    2.760    0.000    4.000
    21.45    3.645    2.765    0.000    4.000
    21.52    3.650    2.765    0.000    4.000
    21.58    3.655    2.765    0.000    4.000
    21.65    3.660    2.765    0.000    4.000
    21.71    3.660    2.770    0.000    4.000
    21.78    3.665    2.765    0.000    4.000
    21.85    3.670    2.770    0.000    4.000
    21.91    3.675    2.770    0.000    4.000
    21.98    3.680    2.775    0.000    4.000
    22.04    3.685    2.775    0.000    4.000
    22.11    3.685    2.775    0.000    4.000
    22.18    3.695    2.775    0.000    4.000
    22.24    3.695    2.775    0.000    4.000
    22.31    3.700    2.775    0.000    4.000
    22.37    3.705    2.780    0.000    4.000
    22.44    3.710    2.780    0.000    4.000
    22.51    3.715    2.780    0.000    4.000
    22.57    3.720    2.785    0.000    4.000
    22.64    3.725    2.785    0.000    4.000
    22.70    3.730    2.785    0.000    4.000
    22.77    3.730    2.785    0.000    4.000
    22.84    3.735    2.790    0.000    4.000
    22.90    3.740    2.790    0.000    4.000
    22.97    3.745    2.790    0.000    4.000
    23.03    3.750    2.790    0.000    4.000
    23.10    3.755    2.790    0.000    4.000
    23.17    3.760    2.795    0.000    4.000
    23.23    3.760    2.795    0.000    4.000
    23.30    3.770    2.795    0.000    4.000
    23.36    3.770    2.800    0.000    4.000
    23.43    3.775    2.795    0.000    4.000
    23.50    3.780    2.800    0.000    4.000
    23.56    3.785    2.800    0.000    4.000
    23.63    3.790    2.800    0.000    4.000
    23.69    3.795    2.805    0.000    4.000
    23.76    3.800    2.805    0.000    4.000
    23.83    3.800    2.805    0.000    4.000
    23.89    3.805    2.805    0.000    4.000
    23.96    3.810    2.810    0.000    4.000
    24.02    3.815    2.810    0.000    4.000
    24.09    3.820    2.810    0.000    4.000
    24.16    3.825    2.810    0.000    4.000
    24.22    3.830    2.815    0.000    4.000
    24.29    3.835    2.815    0.000    4.000
    24.35    3.835    2.815    0.000    4.000
    24.42    3.840    2.815    0.000    4.000
    24.49    3.845    2.820    0.000    4.000
    24.55    3.850    2.820    0.000    4.000
    24.62    3.855    2.820    0.000    4.000
    24.68    3.860    2.820    0.000    4.000
    24.75    3.865    2.825    0.000    4.000
    24.82    3.865    2.825    0.000    4.000
    24.88    3.870    2.825    0.000    4.000
    24.95    3.875    2.825    0.000    4.000
    25.01    3.880    2.830    0.000    4.000
    25.08    3.885    2.830    0.000    4.000
    25.15    3.890    2.830    0.000    4.000
    25.21    3.895    2.830    0.000    4.000
    25.28    3.895    2.835    0.000    4.000
    25.34    3.900    2.835    0.000    4.000
    25.41    3.905    2.835    0.000    4.000
    25.48    3.910    2.840    0.000    4.000
    25.54    3.915    2.840    0.000    4.000
    25.61    3.920    2.840    0.000    4.000
    25.67    3.925    2.845    0.000    4.000
    25.74    3.925    2.845    0.000    4.000
    25.81    3.930    2.845    0.000    4.000
    25.87    3.935    2.850    0.000    4.000
    25.94    3.940    2.845    0.000    4.000
    26.00    3.945    2.850    0.000    4.000
    26.07    3.950    2.850    0.000    4.000
    26.14    3.955    2.850    0.000    4.000
    26.20    3.955    2.850    0.000    4.000
    26.27    3.960    2.855    0.000    4.000
    26.33    3.965    2.855    0.000    4.000
    26.40    3.970    2.860    0.000    4.000
    26.47    3.970    2.860    0.000    4.000
    26.53    3.975    2.860    0.000    4.000
    26.60    3.985    2.860    0.000    4.000
    26.66    3.985    2.865    0.000    4.000
    26.73    3.990    2.865    0.000    4.000
    26.80    3.995    2.870    0.000    4.000
    26.86    4.000    2.865    0.000    4.000
    26.93    4.000    2.870    0.000    4.000
    26.99    4.005    2.870    0.000    4.000
    27.06    4.010    2.870    0.000    4.000
    27.13    4.015    2.875    0.000    4.000
    27.19    4.020    2.875    0.000    4.000
    27.26    4.025    2.880    0.000    4.000
    27.32    4.030    2.875    0.000    4.000
    27.39    4.030    2.880    0.000    4.000
    27.46    4.035    2.880    0.000    4.000
    27.52    4.040    2.885    0.000    4.000
    27.59    4.045    2.885    0.000    4.000
    27.65    4.050    2.885    0.000    4.000
    27.72    4.055    2.885    0.000    4.000
    27.79    4.055    2.890    0.000    4.000
    27.85    4.060    2.890    0.000    4.000
    27.92    4.065    2.890    0.000    4.000
    27.98    4.070    2.895    0.000    4.000
    28.05    4.075    2.895    0.000    4.000
    28.12    4.080    2.895    0.000    4.000
    28.18    4.080    2.895    0.000    4.000
    28.25    4.085    2.900    0.000    4.000
    28.31    4.090    2.900    0.000    4.000
    28.38    4.095    2.900    0.000    4.000
    28.45    4.095    2.905    0.000    4.000
    28.51    4.105    2.905    0.000    4.000
    28.58    4.105    2.905    0.000    4.000
    28.64    4.110    2.910    0.000    4.000
    28.71    4.115    2.910    0.000    4.000
    28.78    4.120    2.910    0.000    4.000
    28.84    4.120    2.915    0.000    4.000
    28.91    4.125    2.915    0.000    4.000
    28.97    4.130    2.915    0.000    4.000
    29.04    4.135    2.920    0.000    4.000
    29.11    4.140    2.920    0.000    4.000
    29.17    4.145    2.920    0.000    4.000
    29.24    4.145    2.925    0.000    4.000
    29.30    4.150    2.925    0.000    4.000
    29.37    4.155    2.925    0.000    4.000
    29.44    4.160    2.930    0.000    4.000
    29.50    4.165    2.930    0.000    4.000
    29.57    4.165    2.930    0.000    4.000
    29.63    4.175    2.935    0.000    4.000
    29.70    4.175    2.935    0.000    4.000
    29.77    4.180    2.935    0.000    4.000
    29.83    4.185    2.940    0.000    4.000
    29.90    4.190    2.940    0.000    4.000
