Data export from TecQuipment CE2000

Data series 3

    Time       T1  shutter setpoint   PI o/p 
     4.90    2.720    0.000    5.000   83.401
     5.00    2.725    0.000    5.000   83.546
     5.10    2.725    0.000    5.000   83.842
     5.20    2.730    0.000    5.000   83.987
     5.30    2.730    0.000    5.000   84.282
     5.40    2.735    0.000    5.000   84.427
     5.50    2.740    0.000    5.000   84.571
     5.60    2.740    0.000    5.000   84.864
     5.70    2.745    0.000    5.000   85.008
     5.80    2.750    0.000    5.000   85.150
     5.90    2.750    0.000    5.000   85.443
     6.00    2.755    0.000    5.000   85.584
     6.10    2.760    0.000    5.000   85.726
     6.20    2.760    0.000    5.000   86.017
     6.30    2.765    0.000    5.000   86.157
     6.40    2.770    0.000    5.000   86.297
     6.50    2.775    0.000    5.000   86.437
     6.60    2.775    0.000    5.000   86.726
     6.70    2.780    0.000    5.000   86.864
     6.80    2.785    0.000    5.000   87.002
     6.90    2.790    0.000    5.000   87.140
     7.00    2.795    0.000    5.000   87.276
     7.10    2.795    0.000    5.000   87.563
     7.20    2.800    0.000    5.000   87.699
     7.30    2.805    0.000    5.000   87.834
     7.40    2.810    0.000    5.000   87.969
     7.50    2.815    0.000    5.000   88.103
     7.60    2.815    0.000    5.000   88.387
     7.70    2.825    0.000    5.000   88.370
     7.80    2.825    0.000    5.000   88.653
     7.90    2.830    0.000    5.000   88.785
     8.00    2.835    0.000    5.000   88.916
     8.10    2.840    0.000    5.000   89.047
     8.20    2.845    0.000    5.000   89.177
     8.30    2.850    0.000    5.000   89.307
     8.40    2.855    0.000    5.000   89.435
     8.50    2.860    0.000    5.000   89.564
     8.60    2.865    0.000    5.000   89.691
     8.70    2.870    0.000    5.000   89.818
     8.80    2.875    0.000    5.000   89.944
     8.90    2.880    0.000    5.000   90.070
     9.00    2.885    0.000    5.000   90.195
     9.10    2.890    0.000    5.000   90.319
     9.20    2.895    0.000    5.000   90.443
     9.30    2.900    0.000    5.000   90.566
     9.40    2.905    0.000    5.000   90.688
     9.50    2.910    0.000    5.000   90.810
     9.60    2.915    0.000    5.000   90.931
     9.70    2.920    0.000    5.000   91.051
     9.80    2.925    0.000    5.000   91.171
     9.90    2.930    0.000    5.000   91.290
    10.00    2.935    0.000    5.000   91.409
    10.10    2.940    0.000    5.000   91.526
    10.20    2.945    0.000    5.000   91.644
    10.30    2.950    0.000    5.000   91.760
    10.40    2.960    0.000    5.000   91.725
    10.50    2.965    0.000    5.000   91.840
    10.60    2.970    0.000    5.000   91.954
    10.70    2.975    0.000    5.000   92.067
    10.80    2.980    0.000    5.000   92.180
    10.90    2.985    0.000    5.000   92.292
    11.00    2.990    0.000    5.000   92.403
    11.10    2.995    0.000    5.000   92.514
    11.20    3.005    0.000    5.000   92.473
    11.30    3.010    0.000    5.000   92.582
    11.40    3.015    0.000    5.000   92.690
    11.50    3.020    0.000    5.000   92.797
    11.60    3.025    0.000    5.000   92.904
    11.70    3.030    0.000    5.000   93.010
    11.80    3.040    0.000    5.000   92.965
    11.90    3.045    0.000    5.000   93.069
    12.00    3.050    0.000    5.000   93.172
    12.10    3.055    0.000    5.000   93.275
    12.20    3.060    0.000    5.000   93.377
    12.30    3.065    0.000    5.000   93.479
    12.40    3.075    0.000    5.000   93.429
    12.50    3.080    0.000    5.000   93.529
    12.60    3.085    0.000    5.000   93.628
    12.70    3.090    0.000    5.000   93.726
    12.80    3.095    0.000    5.000   93.824
    12.90    3.105    0.000    5.000   93.770
    13.00    3.110    0.000    5.000   93.866
    13.10    3.115    0.000    5.000   93.961
    13.20    3.120    0.000    5.000   94.055
    13.30    3.130    0.000    5.000   93.998
    13.40    3.135    0.000    5.000   94.091
    13.50    3.140    0.000    5.000   94.182
    13.60    3.145    0.000    5.000   94.274
    13.70    3.150    0.000    5.000   94.364
    13.80    3.160    0.000    5.000   94.303
    13.90    3.165    0.000    5.000   94.392
    14.00    3.170    0.000    5.000   94.480
    14.10    3.180    0.000    5.000   94.416
    14.20    3.185    0.000    5.000   94.502
    14.30    3.190    0.000    5.000   94.588
    14.40    3.195    0.000    5.000   94.672
    14.50    3.205    0.000    5.000   94.606
    14.60    3.210    0.000    5.000   94.688
    14.70    3.215    0.000    5.000   94.770
    14.80    3.225    0.000    5.000   94.701
    14.90    3.230    0.000    5.000   94.781
    15.00    3.235    0.000    5.000   94.861
    15.10    3.240    0.000    5.000   94.939
    15.20    3.250    0.000    5.000   94.867
    15.30    3.255    0.000    5.000   94.944
    15.40    3.260    0.000    5.000   95.020
    15.50    3.270    0.000    5.000   94.945
    15.60    3.275    0.000    5.000   95.019
    15.70    3.280    0.000    5.000   95.093
    15.80    3.285    0.000    5.000   95.166
    15.90    3.295    0.000    5.000   95.087
    16.00    3.300    0.000    5.000   95.158
    16.10    3.305    0.000    5.000   95.229
    16.20    3.315    0.000    5.000   95.148
    16.30    3.320    0.000    5.000   95.216
    16.40    3.325    0.000    5.000   95.284
    16.50    3.335    0.000    5.000   95.200
    16.60    3.340    0.000    5.000   95.266
    16.70    3.345    0.000    5.000   95.331
    16.80    3.355    0.000    5.000   95.245
    16.90    3.360    0.000    5.000   95.308
    17.00    3.365    0.000    5.000   95.371
    17.10    3.370    0.000    5.000   95.433
    17.20    3.380    0.000    5.000   95.343
    17.30    3.385    0.000    5.000   95.403
    17.40    3.390    0.000    5.000   95.463
    17.50    3.400    0.000    5.000   95.371
    17.60    3.405    0.000    5.000   95.428
    17.70    3.410    0.000    5.000   95.485
    17.80    3.420    0.000    5.000   95.390
    17.90    3.425    0.000    5.000   95.445
    18.00    3.430    0.000    5.000   95.499
    18.10    3.435    0.000    5.000   95.552
    18.20    3.445    0.000    5.000   95.455
    18.30    3.450    0.000    5.000   95.506
    18.40    3.455    0.000    5.000   95.557
    18.50    3.465    0.000    5.000   95.457
    18.60    3.470    0.000    5.000   95.505
    18.70    3.475    0.000    5.000   95.554
    18.80    3.485    0.000    5.000   95.451
    18.90    3.490    0.000    5.000   95.497
    19.00    3.495    0.000    5.000   95.543
    19.10    3.505    0.000    5.000   95.437
    19.20    3.510    0.000    5.000   95.481
    19.30    3.515    0.000    5.000   95.524
    19.40    3.525    0.000    5.000   95.415
    19.50    3.530    0.000    5.000   95.457
    19.60    3.535    0.000    5.000   95.497
    19.70    3.540    0.000    5.000   95.537
    19.80    3.550    0.000    5.000   95.425
    19.90    3.555    0.000    5.000   95.463
    20.00    3.560    0.000    5.000   95.500
    20.10    3.570    0.000    5.000   95.386
    20.20    3.575    0.000    5.000   95.421
    20.30    3.580    0.000    5.000   95.456
    20.40    3.590    0.000    5.000   95.339
    20.50    3.595    0.000    5.000   95.372
    20.60    3.600    0.000    5.000   95.404
    20.70    3.605    0.000    5.000   95.435
    20.80    3.615    0.000    5.000   95.315
    20.90    3.620    0.000    5.000   95.345
    21.00    3.625    0.000    5.000   95.374
    21.10    3.635    0.000    5.000   95.251
    21.20    3.640    0.000    5.000   95.278
    21.30    3.645    0.000    5.000   95.304
    21.40    3.655    0.000    5.000   95.179
    21.50    3.660    0.000    5.000   95.203
    21.60    3.665    0.000    5.000   95.227
    21.70    3.675    0.000    5.000   95.099
    21.80    3.680    0.000    5.000   95.120
    21.90    3.685    0.000    5.000   95.141
    22.00    3.695    0.000    5.000   95.011
    22.10    3.700    0.000    5.000   95.030
    22.20    3.705    0.000    5.000   95.048
    22.30    3.715    0.000    5.000   94.915
    22.40    3.720    0.000    5.000   94.932
    22.50    3.725    0.000    5.000   94.948
    22.60    3.735    0.000    5.000   94.812
    22.70    3.740    0.000    5.000   94.826
    22.80    3.745    0.000    5.000   94.839
    22.90    3.755    0.000    5.000   94.701
    23.00    3.760    0.000    5.000   94.712
    23.10    3.765    0.000    5.000   94.723
    23.20    3.770    0.000    5.000   94.732
    23.30    3.780    0.000    5.000   94.591
    23.40    3.785    0.000    5.000   94.599
    23.50    3.790    0.000    5.000   94.606
    23.60    3.800    0.000    5.000   94.462
    23.70    3.805    0.000    5.000   94.468
    23.80    3.810    0.000    5.000   94.472
    23.90    3.820    0.000    5.000   94.326
    24.00    3.825    0.000    5.000   94.328
    24.10    3.830    0.000    5.000   94.331
    24.20    3.840    0.000    5.000   94.181
    24.30    3.845    0.000    5.000   94.182
    24.40    3.850    0.000    5.000   94.181
    24.50    3.855    0.000    5.000   94.180
    24.60    3.865    0.000    5.000   94.027
    24.70    3.870    0.000    5.000   94.024
    24.80    3.875    0.000    5.000   94.021
    24.90    3.880    0.000    5.000   94.016
    25.00    3.890    0.000    5.000   93.860
    25.10    3.895    0.000    5.000   93.854
    25.20    3.900    0.000    5.000   93.847
    25.30    3.910    0.000    5.000   93.689
    25.40    3.915    0.000    5.000   93.680
    25.50    3.920    0.000    5.000   93.670
    25.60    3.930    0.000    5.000   93.509
    25.70    3.935    0.000    5.000   93.498
    25.80    3.940    0.000    5.000   93.486
    25.90    3.945    0.000    5.000   93.473
    26.00    3.955    0.000    5.000   93.309
    26.10    3.960    0.000    5.000   93.294
    26.20    3.965    0.000    5.000   93.278
    26.30    3.975    0.000    5.000   93.112
    26.40    3.980    0.000    5.000   93.094
    26.50    3.985    0.000    5.000   93.076
    26.60    3.995    0.000    5.000   92.907
    26.70    4.000    0.000    5.000   92.887
    26.80    4.005    0.000    5.000   92.866
    26.90    4.010    0.000    5.000   92.845
    27.00    4.020    0.000    5.000   92.672
    27.10    4.025    0.000    5.000   92.649
    27.20    4.030    0.000    5.000   92.625
    27.30    4.035    0.000    5.000   92.601
    27.40    4.045    0.000    5.000   92.425
    27.50    4.050    0.000    5.000   92.398
    27.60    4.055    0.000    5.000   92.371
    27.70    4.065    0.000    5.000   92.193
    27.80    4.070    0.000    5.000   92.164
    27.90    4.075    0.000    5.000   92.134
    28.00    4.085    0.000    5.000   91.953
    28.10    4.090    0.000    5.000   91.921
    28.20    4.095    0.000    5.000   91.889
    28.30    4.100    0.000    5.000   91.856
    28.40    4.110    0.000    5.000   91.671
    28.50    4.115    0.000    5.000   91.636
    28.60    4.120    0.000    5.000   91.601
    28.70    4.130    0.000    5.000   91.414
    28.80    4.135    0.000    5.000   91.376
    28.90    4.140    0.000    5.000   91.338
    29.00    4.145    0.000    5.000   91.299
    29.10    4.155    0.000    5.000   91.109
    29.20    4.160    0.000    5.000   91.068
    29.30    4.165    0.000    5.000   91.027
    29.40    4.170    0.000    5.000   90.985
    29.50    4.180    0.000    5.000   90.791
    29.60    4.185    0.000    5.000   90.747
    29.70    4.190    0.000    5.000   90.703
    29.80    4.200    0.000    5.000   90.507
    29.90    4.205    0.000    5.000   90.460
    30.00    4.210    0.000    5.000   90.413
    30.10    4.215    0.000    5.000   90.365
    30.20    4.225    0.000    5.000   90.166
    30.30    4.230    0.000    5.000   90.116
    30.40    4.235    0.000    5.000   90.065
    30.50    4.240    0.000    5.000   90.014
    30.60    4.250    0.000    5.000   89.811
    30.70    4.255    0.000    5.000   89.758
    30.80    4.260    0.000    5.000   89.704
    30.90    4.265    0.000    5.000   89.650
    31.00    4.270    0.000    5.000   89.595
    31.10    4.280    0.000    5.000   89.388
    31.20    4.285    0.000    5.000   89.331
    31.30    4.290    0.000    5.000   89.274
    31.40    4.295    0.000    5.000   89.215
    31.50    4.300    0.000    5.000   89.156
    31.60    4.310    0.000    5.000   88.946
    31.70    4.315    0.000    5.000   88.885
    31.80    4.320    0.000    5.000   88.824
    31.90    4.325    0.000    5.000   88.761
    32.00    4.330    0.000    5.000   88.698
    32.10    4.340    0.000    5.000   88.484
    32.20    4.345    0.000    5.000   88.419
    32.30    4.350    0.000    5.000   88.354
    32.40    4.355    0.000    5.000   88.288
    32.50    4.365    0.000    5.000   88.070
    32.60    4.370    0.000    5.000   88.002
    32.70    4.375    0.000    5.000   87.933
    32.80    4.380    0.000    5.000   87.864
    32.90    4.385    0.000    5.000   87.794
    33.00    4.395    0.000    5.000   87.573
    33.10    4.400    0.000    5.000   87.501
    33.20    4.405    0.000    5.000   87.428
    33.30    4.410    0.000    5.000   87.355
    33.40    4.415    0.000    5.000   87.281
    33.50    4.420    0.000    5.000   87.206
    33.60    4.430    0.000    5.000   86.980
    33.70    4.435    0.000    5.000   86.904
    33.80    4.440    0.000    5.000   86.826
    33.90    4.445    0.000    5.000   86.749
    34.00    4.450    0.000    5.000   86.670
    34.10    4.455    0.000    5.000   86.591
    34.20    4.465    0.000    5.000   86.360
    34.30    4.470    0.000    5.000   86.279
    34.40    4.475    0.000    5.000   86.198
    34.50    4.480    0.000    5.000   86.115
    34.60    4.485    0.000    5.000   86.032
    34.70    4.495    0.000    5.000   85.798
    34.80    4.500    0.000    5.000   85.713
    34.90    4.505    0.000    5.000   85.627
    35.00    4.510    0.000    5.000   85.541
    35.10    4.520    0.000    5.000   85.303
    35.20    4.525    0.000    5.000   85.215
    35.30    4.530    0.000    5.000   85.126
    35.40    4.535    0.000    5.000   85.037
    35.50    4.540    0.000    5.000   84.946
    35.60    4.550    0.000    5.000   84.705
    35.70    4.555    0.000    5.000   84.613
    35.80    4.560    0.000    5.000   84.520
    35.90    4.565    0.000    5.000   84.426
    36.00    4.570    0.000    5.000   84.332
    36.10    4.575    0.000    5.000   84.238
    36.20    4.580    0.000    5.000   84.142
    36.30    4.590    0.000    5.000   83.896
    36.40    4.595    0.000    5.000   83.798
    36.50    4.600    0.000    5.000   83.700
    36.60    4.605    0.000    5.000   83.602
    36.70    4.610    0.000    5.000   83.502
    36.80    4.620    0.000    5.000   83.252
    36.90    4.625    0.000    5.000   83.150
    37.00    4.630    0.000    5.000   83.048
    37.10    4.635    0.000    5.000   82.946
    37.20    4.640    0.000    5.000   82.843
    37.30    4.645    0.000    5.000   82.739
    37.40    4.650    0.000    5.000   82.634
    37.50    4.660    0.000    5.000   82.379
    37.60    4.665    0.000    5.000   82.272
    37.70    4.670    0.000    5.000   82.165
    37.80    4.675    0.000    5.000   82.057
    37.90    4.680    0.000    5.000   81.949
    38.00    4.685    0.000    5.000   81.840
    38.10    4.690    0.000    5.000   81.730
    38.20    4.695    0.000    5.000   81.620
    38.30    4.705    0.000    5.000   81.358
    38.40    4.710    0.000    5.000   81.246
    38.50    4.715    0.000    5.000   81.133
    38.60    4.720    0.000    5.000   81.019
    38.70    4.725    0.000    5.000   80.905
    38.80    4.735    0.000    5.000   80.639
    38.90    4.740    0.000    5.000   80.523
    39.00    4.745    0.000    5.000   80.406
    39.10    4.750    0.000    5.000   80.289
    39.20    4.755    0.000    5.000   80.171
    39.30    4.760    0.000    5.000   80.052
    39.40    4.770    0.000    5.000   79.782
    39.50    4.775    0.000    5.000   79.661
    39.60    4.780    0.000    5.000   79.540
    39.70    4.785    0.000    5.000   79.418
    39.80    4.790    0.000    5.000   79.295
    39.90    4.795    0.000    5.000   79.172
    40.00    4.800    0.000    5.000   79.048
    40.10    4.805    0.000    5.000   78.923
    40.20    4.815    0.000    5.000   78.647
    40.30    4.820    0.000    5.000   78.520
    40.40    4.825    0.000    5.000   78.393
    40.50    4.830    0.000    5.000   78.265
    40.60    4.835    0.000    5.000   78.137
    40.70    4.840    0.000    5.000   78.008
    40.80    4.845    0.000    5.000   77.878
    40.90    4.850    0.000    5.000   77.747
    41.00    4.855    0.000    5.000   77.616
    41.10    4.860    0.000    5.000   77.484
    41.20    4.865    0.000    5.000   77.352
    41.30    4.875    0.000    5.000   77.068
    41.40    4.880    0.000    5.000   76.934
    41.50    4.885    0.000    5.000   76.799
    41.60    4.890    0.000    5.000   76.663
    41.70    4.895    0.000    5.000   76.527
    41.80    4.900    0.000    5.000   76.390
    41.90    4.905    0.000    5.000   76.252
    42.00    4.910    0.000    5.000   76.114
    42.10    4.915    0.000    5.000   75.975
    42.20    4.920    0.000    5.000   75.835
    42.30    4.925    0.000    5.000   75.695
    42.40    4.930    0.000    5.000   75.554
    42.50    4.935    0.000    5.000   75.412
    42.60    4.940    0.000    5.000   75.270
    42.70    4.945    0.000    5.000   75.127
    42.80    4.950    0.000    5.000   74.984
    42.90    4.955    0.000    5.000   74.840
    43.00    4.960    0.000    5.000   74.695
    43.10    4.965    0.000    5.000   74.549
    43.20    4.970    0.000    5.000   74.403
    43.30    4.980    0.000    5.000   74.106
    43.40    4.985    0.000    5.000   73.958
    43.50    4.990    0.000    5.000   73.809
    43.60    4.995    0.000    5.000   73.660
    43.70    5.000    0.000    5.000   73.510
    43.80    5.005    0.000    5.000   73.359
    43.90    5.010    0.000    5.000   73.208
    44.00    5.015    0.000    5.000   73.056
    44.10    5.020    0.000    5.000   72.903
    44.20    5.025    0.000    5.000   72.750
    44.30    5.030    0.000    5.000   72.596
    44.40    5.035    0.000    5.000   72.442
    44.50    5.040    0.000    5.000   72.286
    44.60    5.045    0.000    5.000   72.131
    44.70    5.050    0.000    5.000   71.974
    44.80    5.055    0.000    5.000   71.817
    44.90    5.060    0.000    5.000   71.659
    45.00    5.065    0.000    5.000   71.501
    45.10    5.070    0.000    5.000   71.342
    45.20    5.075    0.000    5.000   71.182
    45.30    5.080    0.000    5.000   71.021
    45.40    5.085    0.000    5.000   70.860
    45.50    5.090    0.000    5.000   70.699
    45.60    5.095    0.000    5.000   70.536
    45.70    5.105    0.000    5.000   70.223
    45.80    5.110    0.000    5.000   70.058
    45.90    5.115    0.000    5.000   69.893
    46.00    5.120    0.000    5.000   69.728
    46.10    5.125    0.000    5.000   69.562
    46.20    5.130    0.000    5.000   69.395
    46.30    5.135    0.000    5.000   69.227
    46.40    5.140    0.000    5.000   69.059
    46.50    5.145    0.000    5.000   68.890
    46.60    5.150    0.000    5.000   68.721
    46.70    5.155    0.000    5.000   68.550
    46.80    5.160    0.000    5.000   68.380
    46.90    5.165    0.000    5.000   68.208
    47.00    5.170    0.000    5.000   68.036
    47.10    5.175    0.000    5.000   67.863
    47.20    5.180    0.000    5.000   67.690
    47.30    5.185    0.000    5.000   67.516
    47.40    5.190    0.000    5.000   67.341
    47.50    5.195    0.000    5.000   67.166
    47.60    5.200    0.000    5.000   66.990
    47.70    5.205    0.000    5.000   66.813
    47.80    5.210    0.000    5.000   66.636
    47.90    5.215    0.000    5.000   66.458
    48.00    5.220    0.000    5.000   66.279
    48.10    5.225    0.000    5.000   66.100
    48.20    5.230    0.000    5.000   65.920
    48.30    5.235    0.000    5.000   65.740
    48.40    5.240    0.000    5.000   65.558
    48.50    5.245    0.000    5.000   65.377
    48.60    5.250    0.000    5.000   65.194
    48.70    5.255    0.000    5.000   65.011
    48.80    5.260    0.000    5.000   64.827
    48.90    5.265    0.000    5.000   64.643
    49.00    5.270    0.000    5.000   64.458
    49.10    5.275    0.000    5.000   64.272
    49.20    5.280    0.000    5.000   64.085
    49.30    5.285    0.000    5.000   63.898
    49.40    5.290    0.000    5.000   63.711
    49.50    5.295    0.000    5.000   63.522
    49.60    5.295    0.000    5.000   63.484
    49.70    5.300    0.000    5.000   63.295
    49.80    5.305    0.000    5.000   63.105
    49.90    5.310    0.000    5.000   62.915
    50.00    5.315    0.000    5.000   62.724
    50.10    5.320    0.000    5.000   62.532
    50.20    5.325    0.000    5.000   62.340
    50.30    5.330    0.000    5.000   62.147
    50.40    5.335    0.000    5.000   61.954
    50.50    5.340    0.000    5.000   61.760
    50.60    5.345    0.000    5.000   61.565
    50.70    5.350    0.000    5.000   61.369
    50.80    5.355    0.000    5.000   61.173
    50.90    5.360    0.000    5.000   60.976
    51.00    5.365    0.000    5.000   60.779
    51.10    5.370    0.000    5.000   60.581
    51.20    5.375    0.000    5.000   60.382
    51.30    5.380    0.000    5.000   60.183
    51.40    5.385    0.000    5.000   59.982
    51.50    5.390    0.000    5.000   59.782
    51.60    5.395    0.000    5.000   59.580
    51.70    5.400    0.000    5.000   59.378
    51.80    5.405    0.000    5.000   59.176
    51.90    5.410    0.000    5.000   58.973
    52.00    5.415    0.000    5.000   58.769
    52.10    5.420    0.000    5.000   58.564
    52.20    5.425    0.000    5.000   58.359
    52.30    5.430    0.000    5.000   58.153
    52.40    5.435    0.000    5.000   57.946
    52.50    5.440    0.000    5.000   57.739
    52.60    5.445    0.000    5.000   57.531
    52.70    5.450    0.000    5.000   57.323
    52.80    5.455    0.000    5.000   57.114
    52.90    5.460    0.000    5.000   56.904
    53.00    5.465    0.000    5.000   56.693
    53.10    5.465    0.000    5.000   56.633
    53.20    5.470    0.000    5.000   56.422
    53.30    5.475    0.000    5.000   56.210
    53.40    5.480    0.000    5.000   55.998
    53.50    5.485    0.000    5.000   55.785
    53.60    5.490    0.000    5.000   55.571
    53.70    5.495    0.000    5.000   55.357
    53.80    5.500    0.000    5.000   55.142
    53.90    5.505    0.000    5.000   54.926
    54.00    5.510    0.000    5.000   54.710
    54.10    5.515    0.000    5.000   54.493
    54.20    5.515    0.000    5.000   54.426
    54.30    5.520    0.000    5.000   54.208
    54.40    5.525    0.000    5.000   53.990
    54.50    5.530    0.000    5.000   53.771
    54.60    5.535    0.000    5.000   53.551
    54.70    5.540    0.000    5.000   53.331
    54.80    5.545    0.000    5.000   53.110
    54.90    5.550    0.000    5.000   52.889
    55.00    5.555    0.000    5.000   52.667
    55.10    5.560    0.000    5.000   52.444
    55.20    5.565    0.000    5.000   52.220
    55.30    5.565    0.000    5.000   52.147
    55.40    5.570    0.000    5.000   51.923
    55.50    5.575    0.000    5.000   51.698
    55.60    5.580    0.000    5.000   51.473
    55.70    5.585    0.000    5.000   51.247
    55.80    5.590    0.000    5.000   51.020
    55.90    5.595    0.000    5.000   50.793
    56.00    5.600    0.000    5.000   50.565
    56.10    5.605    0.000    5.000   50.336
    56.20    5.605    0.000    5.000   50.257
    56.30    5.610    0.000    5.000   50.028
    56.40    5.615    0.000    5.000   49.798
    56.50    5.620    0.000    5.000   49.567
    56.60    5.625    0.000    5.000   49.336
    56.70    5.630    0.000    5.000   49.104
    56.80    5.635    0.000    5.000   48.872
    56.90    5.635    0.000    5.000   48.789
    57.00    5.640    0.000    5.000   48.556
    57.10    5.645    0.000    5.000   48.322
    57.20    5.650    0.000    5.000   48.088
    57.30    5.655    0.000    5.000   47.852
    57.40    5.660    0.000    5.000   47.617
    57.50    5.665    0.000    5.000   47.380
    57.60    5.670    0.000    5.000   47.143
    57.70    5.675    0.000    5.000   46.905
    57.80    5.680    0.000    5.000   46.667
    57.90    5.685    0.000    5.000   46.428
    58.00    5.690    0.000    5.000   46.188
    58.10    5.695    0.000    5.000   45.948
    58.20    5.700    0.000    5.000   45.707
    58.30    5.700    0.000    5.000   45.616
    58.40    5.705    0.000    5.000   45.374
    58.50    5.710    0.000    5.000   45.132
    58.60    5.715    0.000    5.000   44.889
    58.70    5.720    0.000    5.000   44.645
    58.80    5.725    0.000    5.000   44.401
    58.90    5.730    0.000    5.000   44.156
    59.00    5.735    0.000    5.000   43.911
    59.10    5.740    0.000    5.000   43.665
    59.20    5.740    0.000    5.000   43.568
    59.30    5.745    0.000    5.000   43.321
    59.40    5.750    0.000    5.000   43.074
    59.50    5.755    0.000    5.000   42.826
    59.60    5.760    0.000    5.000   42.577
    59.70    5.765    0.000    5.000   42.328
    59.80    5.770    0.000    5.000   42.077
    59.90    5.775    0.000    5.000   41.827
    60.00    5.780    0.000    5.000   41.575
    60.10    5.780    0.000    5.000   41.474
    60.20    5.785    0.000    5.000   41.222
    60.30    5.790    0.000    5.000   40.969
    60.40    5.795    0.000    5.000   40.716
    60.50    5.800    0.000    5.000   40.462
    60.60    5.805    0.000    5.000   40.207
    60.70    5.810    0.000    5.000   39.952
    60.80    5.810    0.000    5.000   39.847
    60.90    5.815    0.000    5.000   39.591
    61.00    5.820    0.000    5.000   39.334
    61.10    5.825    0.000    5.000   39.077
    61.20    5.830    0.000    5.000   38.819
    61.30    5.830    0.000    5.000   38.711
    61.40    5.835    0.000    5.000   38.452
    61.50    5.840    0.000    5.000   38.193
    61.60    5.845    0.000    5.000   37.933
    61.70    5.850    0.000    5.000   37.673
    61.80    5.855    0.000    5.000   37.412
    61.90    5.855    0.000    5.000   37.301
    62.00    5.860    0.000    5.000   37.039
    62.10    5.865    0.000    5.000   36.776
    62.20    5.870    0.000    5.000   36.513
    62.30    5.875    0.000    5.000   36.249
    62.40    5.880    0.000    5.000   35.985
    62.50    5.880    0.000    5.000   35.871
    62.60    5.885    0.000    5.000   35.606
    62.70    5.890    0.000    5.000   35.340
    62.80    5.895    0.000    5.000   35.074
    62.90    5.900    0.000    5.000   34.807
    63.00    5.900    0.000    5.000   34.690
    63.10    5.905    0.000    5.000   34.422
    63.20    5.910    0.000    5.000   34.154
    63.30    5.915    0.000    5.000   33.885
    63.40    5.920    0.000    5.000   33.615
    63.50    5.920    0.000    5.000   33.495
    63.60    5.925    0.000    5.000   33.225
    63.70    5.930    0.000    5.000   32.954
    63.80    5.935    0.000    5.000   32.683
    63.90    5.940    0.000    5.000   32.411
    64.00    5.945    0.000    5.000   32.138
    64.10    5.945    0.000    5.000   32.015
    64.20    5.950    0.000    5.000   31.741
    64.30    5.955    0.000    5.000   31.467
    64.40    5.960    0.000    5.000   31.192
    64.50    5.960    0.000    5.000   31.068
    64.60    5.965    0.000    5.000   30.792
    64.70    5.970    0.000    5.000   30.516
    64.80    5.975    0.000    5.000   30.239
    64.90    5.980    0.000    5.000   29.962
    65.00    5.985    0.000    5.000   29.684
    65.10    5.990    0.000    5.000   29.405
    65.20    5.990    0.000    5.000   29.276
    65.30    5.995    0.000    5.000   28.997
    65.40    6.000    0.000    5.000   28.717
    65.50    6.005    0.000    5.000   28.436
    65.60    6.005    0.000    5.000   28.306
    65.70    6.010    0.000    5.000   28.024
    65.80    6.015    0.000    5.000   27.743
    65.90    6.020    0.000    5.000   27.460
    66.00    6.020    0.000    5.000   27.327
    66.10    6.025    0.000    5.000   27.044
