Data export from TecQuipment CE2000

Data series 3

    Time       T1  shutter setpoint   PI o/p 
     0.00    2.685    0.000    5.000   69.751
     0.10    2.685    0.000    5.000   70.052
     0.20    2.685    0.000    5.000   70.353
     0.30    2.685    0.000    5.000   70.654
     0.40    2.685    0.000    5.000   70.955
     0.50    2.685    0.000    5.000   71.256
     0.60    2.685    0.000    5.000   71.557
     0.70    2.685    0.000    5.000   71.858
     0.80    2.685    0.000    5.000   72.159
     0.90    2.685    0.000    5.000   72.460
     1.00    2.685    0.000    5.000   72.760
     1.10    2.685    0.000    5.000   73.061
     1.20    2.685    0.000    5.000   73.362
     1.30    2.685    0.000    5.000   73.663
     1.40    2.685    0.000    5.000   73.964
     1.50    2.685    0.000    5.000   74.265
     1.60    2.685    0.000    5.000   74.566
     1.70    2.685    0.000    5.000   74.867
     1.80    2.685    0.000    5.000   75.168
     1.90    2.685    0.000    5.000   75.469
     2.00    2.685    0.000    5.000   75.770
     2.10    2.685    0.000    5.000   76.071
     2.20    2.685    0.000    5.000   76.372
     2.30    2.685    0.000    5.000   76.673
     2.40    2.685    0.000    5.000   76.974
     2.50    2.685    0.000    5.000   77.275
     2.60    2.685    0.000    5.000   77.576
     2.70    2.685    0.000    5.000   77.877
     2.80    2.690    0.000    5.000   78.027
     2.90    2.690    0.000    5.000   78.327
     3.00    2.690    0.000    5.000   78.627
     3.10    2.690    0.000    5.000   78.928
     3.20    2.690    0.000    5.000   79.228
     3.30    2.690    0.000    5.000   79.528
     3.40    2.695    0.000    5.000   79.678
     3.50    2.695    0.000    5.000   79.978
     3.60    2.695    0.000    5.000   80.277
     3.70    2.695    0.000    5.000   80.577
     3.80    2.700    0.000    5.000   80.726
     3.90    2.700    0.000    5.000   81.025
     4.00    2.700    0.000    5.000   81.324
     4.10    2.705    0.000    5.000   81.472
     4.20    2.705    0.000    5.000   81.771
     4.30    2.710    0.000    5.000   81.918
     4.40    2.710    0.000    5.000   82.216
     4.50    2.710    0.000    5.000   82.514
     4.60    2.715    0.000    5.000   82.661
     4.70    2.715    0.000    5.000   82.958
     4.80    2.720    0.000    5.000   83.104
