Data export from TecQuipment CE2000

Data series 2

    Time       T1  shutter setpoint   PI o/p 
    15.00    3.200    0.000    5.000   96.418
    15.10    3.205    0.000    5.000   96.502
    15.20    3.215    0.000    5.000   96.434
    15.30    3.220    0.000    5.000   96.515
    15.40    3.225    0.000    5.000   96.596
    15.50    3.230    0.000    5.000   96.676
    15.60    3.240    0.000    5.000   96.605
    15.70    3.245    0.000    5.000   96.683
    15.80    3.250    0.000    5.000   96.760
    15.90    3.260    0.000    5.000   96.687
    16.00    3.265    0.000    5.000   96.762
    16.10    3.270    0.000    5.000   96.837
    16.20    3.275    0.000    5.000   96.911
    16.30    3.285    0.000    5.000   96.834
    16.40    3.290    0.000    5.000   96.907
    16.50    3.295    0.000    5.000   96.978
    16.60    3.300    0.000    5.000   97.049
    16.70    3.310    0.000    5.000   96.969
    16.80    3.315    0.000    5.000   97.038
    16.90    3.320    0.000    5.000   97.106
    17.00    3.325    0.000    5.000   97.174
    17.10    3.335    0.000    5.000   97.091
    17.20    3.340    0.000    5.000   97.156
    17.30    3.345    0.000    5.000   97.222
    17.40    3.355    0.000    5.000   97.135
    17.50    3.360    0.000    5.000   97.199
    17.60    3.365    0.000    5.000   97.261
    17.70    3.370    0.000    5.000   97.323
    17.80    3.380    0.000    5.000   97.234
    17.90    3.385    0.000    5.000   97.294
    18.00    3.390    0.000    5.000   97.353
    18.10    3.395    0.000    5.000   97.412
    18.20    3.405    0.000    5.000   97.319
    18.30    3.410    0.000    5.000   97.376
    18.40    3.415    0.000    5.000   97.432
    18.50    3.425    0.000    5.000   97.336
    18.60    3.430    0.000    5.000   97.390
    18.70    3.435    0.000    5.000   97.444
    18.80    3.440    0.000    5.000   97.497
    18.90    3.450    0.000    5.000   97.398
    19.00    3.455    0.000    5.000   97.449
    19.10    3.460    0.000    5.000   97.499
    19.20    3.470    0.000    5.000   97.398
    19.30    3.475    0.000    5.000   97.446
    19.40    3.480    0.000    5.000   97.494
    19.50    3.485    0.000    5.000   97.541
    19.60    3.495    0.000    5.000   97.437
    19.70    3.500    0.000    5.000   97.482
    19.80    3.505    0.000    5.000   97.526
    19.90    3.515    0.000    5.000   97.419
    20.00    3.520    0.000    5.000   97.461
    20.10    3.525    0.000    5.000   97.503
    20.20    3.535    0.000    5.000   97.394
    20.30    3.540    0.000    5.000   97.433
    20.40    3.545    0.000    5.000   97.473
    20.50    3.555    0.000    5.000   97.360
    20.60    3.560    0.000    5.000   97.398
    20.70    3.565    0.000    5.000   97.434
    20.80    3.575    0.000    5.000   97.319
    20.90    3.580    0.000    5.000   97.354
    21.00    3.585    0.000    5.000   97.388
    21.10    3.595    0.000    5.000   97.271
    21.20    3.600    0.000    5.000   97.303
    21.30    3.605    0.000    5.000   97.334
    21.40    3.610    0.000    5.000   97.365
    21.50    3.615    0.000    5.000   97.395
    21.60    3.625    0.000    5.000   97.273
    21.70    3.630    0.000    5.000   97.302
    21.80    3.635    0.000    5.000   97.329
    21.90    3.645    0.000    5.000   97.205
    22.00    3.650    0.000    5.000   97.231
    22.10    3.655    0.000    5.000   97.256
    22.20    3.665    0.000    5.000   97.129
    22.30    3.670    0.000    5.000   97.152
    22.40    3.675    0.000    5.000   97.174
    22.50    3.680    0.000    5.000   97.196
    22.60    3.690    0.000    5.000   97.066
    22.70    3.695    0.000    5.000   97.086
    22.80    3.700    0.000    5.000   97.105
    22.90    3.710    0.000    5.000   96.972
    23.00    3.715    0.000    5.000   96.990
    23.10    3.720    0.000    5.000   97.006
